Jan  Feb  Mar  Apr  May  June  July  Aug  Sept  Oct  Nov  Dec  
321.00  321.00  321.00  0.00  0.00  0.00  0.00  0.00  0.00  67.00  67.00  67.00
306.00  306.00  306.00  0.00  0.00  0.00  0.00  0.00  0.00  82.00  82.00  82.00
281.00  281.00  281.00  0.00  0.00  0.00  25.00  25.00  25.00  82.00  82.00  82.00
279.00  279.00  279.00  0.00  0.00  0.00  27.00  27.00  27.00  82.00  82.00  82.00
263.00  263.00  263.00  16.00  16.00  16.00  27.00  27.00  27.00  82.00  82.00  82.00
